Identifier,Type,Contract number,Registration Doc,Identifier for schedule,Make and Model,Agreement Start Date,Agreement term (months),Agreement end date,Net Capital,VAT on Acquisition,RFL,Capital Cost,Arrangement Fee,Finance Interest,Initial Payment,Monthly Installment,Final Payment,Total Repayment,Check
HSBC 33,Motor Vehicle,334237,YB24UVG,YB24UVG,CITROEN RELAY 62 H2,05 December 2024,48.0, 04/12/2028,40645.0,8129.0,390.0,49164.0,250.0,21882.48,50334.0,3504.26,,218538.48,0.0
HSBC 34,Motor Vehicle,335424,MA74WXK,MA74WXK,RENAULT TRAFFIC LL30 EXTRA 150 EDC,07 March 2025,48.0,06 March 2029,37500.0,7500.0,390.0,45390.0,0.0,5083.2,11250.0,817.15,,50473.2,
HSBC 35,Equipment,333959,MA74WXK,MA74WXK,"Variotec 460 - Tracer gas kit x14; Aquaphone A200x6, etc",17 February 2025,48.0,16 March 2029,135346.0,27069.2,0.0,162415.2,200.0,20686.2,40603.8,2968.7,,183101.4,-0.0
HSBC 36,Motor Vehicle,338638,BF25XBN,BF25XBN,NISSAN TOWN ICE L1 ACE BEN MY24.5,01 May 2025,48.0,30 April 2029,21510.0,4302.0,400.0,26212.0,250.0,11096.96,25812.0,1877.77,,115944.96,0.0
HSBC 36,Motor Vehicle,338638,BF25XBP,BF25XBP,NISSAN TOWN ICE L1 ACE BEN MY24.5,01 May 2025,48.0,30 April 2029,21510.0,4302.0,400.0,26212.0,250.0,11096.96,25812.0,1877.77,,115944.96,0.0
HSBC 36,Motor Vehicle,338638,BF25XBS,BF25XBS,NISSAN TOWN ICE L1 ACE BEN MY24.5,01 May 2025,48.0,30 April 2029,21510.0,4302.0,400.0,26212.0,250.0,11096.96,25812.0,1877.77,,115944.96,0.0
HSBC 36,Motor Vehicle,338638,BF25XBW,BF25XBW,NISSAN TOWN ICE L1 ACE BEN MY24.5,01 May 2025,48.0,30 April 2029,21510.0,4302.0,400.0,26212.0,250.0,11096.96,25812.0,1877.77,,115944.96,0.0
HSBC 37,Motor Vehicle,338789,YA74OSO,YA74OSO,TRAFIC LI30 BLUE DCI 130 ADVANCE,07 May 2025,48.0,06 May 2029,43415.0,8683.0,390.0,52488.0,300.0,36904.32,86520.0,6241.34,,386104.32,0.0
HSBC 37,Motor Vehicle,338789,YA74XGR,YA74XGR,TRAFIC LI30 BLUE DCI 130 ADVANCE,07 May 2025,48.0,06 May 2029,43415.0,8683.0,390.0,52488.0,300.0,36904.32,86520.0,6241.34,,386104.32,0.0
HSBC 37,Motor Vehicle,338789,YAB74SNU,YAB74SNU,TRAFIC LI30 BLUE DCI 130 ADVANCE,07 May 2025,48.0,06 May 2029,33595.0,6719.0,390.0,40704.0,300.0,36904.32,86520.0,6241.34,,386104.32,0.0
HSBC 37,Motor Vehicle,338789,YB74SWW,YB74SWW,TRAFIC LI30 BLUE DCI 130 ADVANCE,07 May 2025,48.0,06 May 2029,33595.0,6719.0,390.0,40704.0,300.0,36904.32,86520.0,6241.34,,386104.32,0.0
HSBC 37,Motor Vehicle,338789,YG74UAB,YG74UAB,TRAFIC LI30 BLUE DCI 130 ADVANCE,07 May 2025,48.0,06 May 2029,33595.0,6719.0,390.0,40704.0,300.0,36904.32,86520.0,6241.34,,386104.32,0.0
HSBC 37,Motor Vehicle,338789,YB74STX,YB74STX,TRAFIC LI30 BLUE DCI 130 ADVANCE,07 May 2025,48.0,06 May 2029,33595.0,6719.0,390.0,40704.0,300.0,36904.32,86520.0,6241.34,,386104.32,0.0
HSBC 37,Motor Vehicle,338789,YB74SWZ,YB74SWZ,TRAFIC LI30 BLUE DCI 130 ADVANCE,07 May 2025,48.0,06 May 2029,33595.0,6719.0,390.0,40704.0,300.0,36904.32,86520.0,6241.34,,386104.32,0.0
HSBC 37,Motor Vehicle,338789,YB74XHM,YB74XHM,TRAFIC LI30 BLUE DCI 130 ADVANCE,07 May 2025,48.0,06 May 2029,33595.0,6719.0,390.0,40704.0,300.0,36904.32,86520.0,6241.34,,386104.32,0.0
HSBC 38,Motor Vehicle,340004,KR25GXN,KR25GXN,RENAULY TRAFFIC LL30 BLUE DCI 130 ADVANCE,12 June 2025,48.0,11 June 2029,31665.0,6333.0,400.0,38398.0,250.0,16323.44,37998.0,2748.28,,169915.44,0.0
HSBC 38,Motor Vehicle,340004,KR25LDJ,KR25LDJ,RENAULY TRAFFIC LL30 BLUE DCI 130 ADVANCE,12 June 2025,48.0,11 June 2029,31665.0,6333.0,400.0,38398.0,250.0,16323.44,37998.0,2748.28,,169915.44,0.0
HSBC 38,Motor Vehicle,340004,KR25GCZ,KR25GCZ,RENAULY TRAFFIC LL30 BLUE DCI 130 ADVANCE,12 June 2025,48.0,11 June 2029,31665.0,6333.0,400.0,38398.0,250.0,16323.44,37998.0,2748.28,,169915.44,0.0
HSBC 38,Motor Vehicle,340004,KR25GLJ,KR25GLJ,RENAULY TRAFFIC LL30 BLUE DCI 130 ADVANCE,12 June 2025,48.0,11 June 2029,31665.0,6333.0,400.0,38398.0,250.0,16323.44,37998.0,2748.28,,169915.44,0.0
